project_id,plotid,image_year,image_julday,dominant_landuse,dominant_landcover,change_process,change_process_notes,interpreter
Austria,10,2016,201,Forest,Trees,Stable,,131
Austria,11,1984,193,Other,Non-tree,,,131
Austria,11,2016,209,Other,Non-tree,Stable,,131
Austria,12,1984,193,Other,Non-tree,,,131
Austria,12,2016,201,Other,Non-tree,Stable,,131
Austria,13,1985,266,Other,Non-tree,,,131
Austria,13,2016,215,Other,Non-tree,Stable,,131
Austria,14,1984,193,Forest,Trees,,,131
Austria,14,2016,217,Forest,Trees,Stable,thinning,131
Austria,15,1984,218,Forest,Trees,,,131
Austria,15,2016,178,Forest,Trees,Stable,,131
Austria,16,1984,193,Forest,Trees,,,131
Austria,16,2016,217,Forest,Trees,Stable,,131
Austria,17,1984,218,Other,Non-tree,,,131
Austria,17,2016,217,Other,Non-tree,Stable,,131
Austria,18,1984,193,Forest,Trees,,,131
Austria,18,1993,208,Forest,Trees,Stable,,131
Austria,18,1994,211,Forest,Non-tree,Harvest,clearcut,131
Austria,18,2015,213,Forest,Trees,Stable,,131
Austria,19,1984,248,Forest,Trees,,,131
Austria,19,2016,216,Forest,Trees,Stable,,131
Austria,20,1984,218,Forest,Trees,,,131
Austria,20,1996,226,Forest,Trees,Stable,,131
Austria,20,1997,212,Forest,Trees,Harvest,thinning,131
Austria,20,2016,202,Forest,Trees,Stable,,131
Austria,21,1984,234,Other,Trees,,,131
Austria,21,2016,217,Other,Trees,Stable,,131
Austria,22,1984,193,Other,Non-tree,,,131
Austria,22,2016,224,Other,Non-tree,Stable,,131
Austria,23,1984,218,Other,Non-tree,,,131
Austria,23,2016,209,Other,Non-tree,Stable,,131
Austria,24,1984,193,Other,Non-tree,,,131
Austria,24,2016,217,Other,Non-tree,Stable,,131
Austria,25,1984,193,Other,Non-tree,,,131
Austria,25,2016,201,Other,Non-tree,Stable,,131
Austria,26,1984,218,Forest,Trees,,,131
Austria,26,2016,194,Forest,Trees,Stable,,131
Austria,27,1984,257,Other,Non-tree,,,131
Austria,27,2016,233,Other,Non-tree,Stable,,131
Austria,28,1984,234,Forest,Trees,,,131
Austria,28,2016,209,Forest,Trees,Stable,,131
Austria,29,1984,193,Other,Non-tree,,,131
Austria,29,2016,201,Other,Non-tree,Stable,,131
Austria,30,1984,218,Forest,Trees,,,131
Austria,30,2016,217,Forest,Trees,Stable,,131
Austria,31,1984,218,Other,Non-tree,,,131
Austria,31,2016,186,Other,Non-tree,Stable,,131
Austria,32,1984,218,Other,Non-tree,,,131
Austria,32,2016,203,Other,Non-tree,Stable,,131
Austria,33,1984,218,Forest,Trees,,,131
Austria,33,2016,217,Forest,Trees,Stable,,131
Austria,34,1984,193,Forest,Trees,,,131
Austria,34,2016,217,Forest,Trees,Stable,,131
Austria,35,1984,218,Forest,Trees,,,131
Austria,35,2016,226,Forest,Trees,Stable,,131
Austria,36,1984,218,Forest,Trees,,,131
Austria,36,2002,243,Forest,Trees,Stable,,131
Austria,36,2003,222,Forest,Non-tree,Harvest,sanitation,131
Austria,36,2016,241,Forest,Trees,Growth/Recovery,,131
Austria,37,1984,218,Other,Non-tree,,,131
Austria,37,2016,218,Other,Non-tree,Stable,,131
Austria,38,1984,193,Other,Non-tree,,,131
Austria,38,2016,201,Other,Non-tree,Stable,,131
Austria,39,1984,218,Other,Non-tree,,,131
Austria,39,2016,219,Other,Non-tree,Stable,,131
Austria,40,1984,218,Forest,Trees,,,131
Austria,40,2016,226,Forest,Trees,Stable,,131
Austria,41,1984,193,Forest,Trees,,,131
Austria,41,1993,217,Forest,Trees,Stable,,131
Austria,41,1995,223,Forest,Trees,Harvest,thinning,131
Austria,41,2016,201,Forest,Trees,Stable,,131
Austria,42,1985,234,Other,Non-tree,,,131
Austria,42,2016,192,Other,Non-tree,Stable,,131
Austria,43,1984,248,Other,Non-tree,,,131
Austria,43,2016,200,Other,Non-tree,Stable,,131
Austria,44,1984,248,Forest,Trees,,,131
Austria,44,2016,231,Forest,Trees,Stable,,131
Austria,45,1984,241,Other,Non-tree,,,131
Austria,45,2016,216,Other,Non-tree,Stable,,131
Austria,46,1985,234,Forest,Trees,,,131
Austria,46,2010,216,Forest,Trees,Stable,,131
Austria,46,2011,226,Forest,Trees,Harvest,clearcut,131
Austria,46,2016,201,Forest,Trees,Growth/Recovery,,131
Austria,47,1984,218,Other,Non-tree,,,131
Austria,47,2016,202,Other,Non-tree,Stable,,131
Austria,48,1984,234,Forest,Trees,,,131
Austria,48,2015,222,Forest,Trees,Stable,,131
Austria,49,1984,193,Forest,Trees,,,131
Austria,49,2016,217,Forest,Trees,Stable,,131
Austria,50,1984,218,Forest,Trees,,,131
Austria,50,2002,243,Forest,Trees,Stable,,131
Austria,50,2004,216,Forest,Trees,Harvest,thinning,131
Austria,50,2006,221,Forest,Trees,Growth/Recovery,,131
Austria,50,2007,217,Forest,Non-tree,Harvest,,131
Austria,50,2016,217,Forest,Non-tree,Growth/Recovery,,131
Austria,51,1984,218,Other,Non-tree,,,131
Austria,51,2016,211,Other,Non-tree,Stable,,131
Austria,52,1984,218,Other,Non-tree,,,131
Austria,52,2016,194,Other,Non-tree,Stable,,131
Austria,53,1984,218,Other,Non-tree,,,131
Austria,53,2016,209,Other,Non-tree,Stable,,131
Austria,54,1984,193,Forest,Trees,,,131
Austria,54,2016,216,Forest,Trees,Stable,,131
Austria,55,1984,234,Forest,Trees,,,131
Austria,55,2016,233,Forest,Trees,Stable,,131
Austria,56,1984,248,Other,Non-tree,,,131
Austria,56,2016,232,Other,Non-tree,Stable,,131
Austria,57,1984,234,Forest,Trees,,,131
Austria,57,2001,208,Forest,Trees,Stable,,131
Austria,57,2003,222,Forest,Non-tree,Harvest,clearcut,131
Austria,57,2008,211,Forest,Non-tree,Growth/Recovery,,131
Austria,57,2016,217,Forest,Trees,Stable,,131
Austria,58,1984,218,Other,Non-tree,,,131
Austria,58,2016,209,Other,Non-tree,Stable,,131
Austria,59,1984,218,Other,Non-tree,,,131
Austria,59,2016,202,Other,Non-tree,Stable,,131
Austria,60,1984,193,Forest,Trees,,,131
Austria,60,2016,209,Forest,Trees,Stable,,131
Austria,61,1984,234,Forest,Trees,,,131
Austria,61,2016,217,Forest,Trees,Stable,,131
Austria,62,1984,234,Other,Non-tree,,,131
Austria,62,2016,211,Other,Non-tree,Stable,,131
Austria,63,1984,218,Forest,Trees,,,131
Austria,63,2016,219,Forest,Trees,Stable,,131
Austria,64,1984,218,Other,Non-tree,,,131
Austria,64,2016,186,Other,Non-tree,Stable,,131
Austria,65,1984,241,Other,Non-tree,,,131
Austria,65,2016,216,Other,Non-tree,Stable,,131
Austria,66,1984,246,Forest,Trees,,,131
Austria,66,2016,206,Forest,Trees,Stable,,131
Austria,67,1984,218,Other,Non-tree,,,131
Austria,67,2016,219,Other,Non-tree,Stable,,131
Austria,68,1984,241,Other,Non-tree,,,131
Austria,68,2016,201,Other,Non-tree,Stable,,131
Austria,69,1984,218,Other,Non-tree,,,131
Austria,69,2016,202,Other,Non-tree,Stable,,131
Austria,70,1985,236,Forest,Trees,,,131
Austria,70,1998,272,Forest,Trees,Stable,,131
Austria,70,2000,214,Forest,Trees,Harvest,thinning,131
Austria,70,2009,213,Forest,Trees,Stable,,131
Austria,70,2010,233,Forest,Trees,Harvest,clearcut,131
Austria,70,2012,182,Forest,Trees,Growth/Recovery,,131
Austria,70,2015,223,Forest,Trees,Stable,,131
Austria,71,1984,218,Other,Non-tree,,,131
Austria,71,2016,203,Other,Non-tree,Stable,,131
Austria,72,1984,218,Other,Non-tree,,,131
Austria,72,2016,211,Other,Non-tree,Stable,,131
Austria,73,1984,248,Other,Non-tree,,,131
Austria,73,2016,216,Other,Non-tree,Stable,,131
Austria,74,1984,193,Other,Non-tree,,,131
Austria,74,2016,208,Other,Non-tree,Stable,,131
Austria,75,1984,296,Other,Non-tree,,,131
Austria,75,2016,216,Other,Non-tree,Stable,,131
Austria,76,1984,218,Other,Non-tree,,,131
Austria,76,2016,217,Other,Non-tree,Stable,,131
Austria,77,1984,218,Other,Non-tree,,,131
Austria,77,2016,202,Other,Non-tree,Stable,,131
Austria,78,1984,193,Other,Non-tree,,,131
Austria,78,2016,216,Other,Non-tree,Stable,,131
Austria,79,1984,218,Forest,Trees,,,131
Austria,79,2009,214,Forest,Trees,Stable,,131
Austria,79,2016,217,Forest,Trees,Harvest,thinning,131
Austria,80,1984,234,Forest,Trees,,,131
Austria,80,2004,200,Forest,Trees,Stable,,131
Austria,80,2005,211,Forest,Trees,Harvest,clearcut,131
Austria,80,2016,217,Forest,Trees,Growth/Recovery,,131
Austria,81,1984,248,Other,Non-tree,,,131
Austria,81,2016,216,Other,Non-tree,Stable,,131
Austria,82,1984,193,Forest,Trees,,,131
Austria,82,2016,217,Forest,Trees,Stable,,131
Austria,83,1984,218,Forest,Non-tree,,,131
Austria,83,2014,196,Forest,Trees,Growth/Recovery,,131
Austria,84,1984,193,Forest,Trees,,,131
Austria,84,2004,215,Forest,Trees,Stable,,131
Austria,84,2005,210,Other,Non-tree,Harvest,clearcut,131
Austria,84,2016,216,Other,Non-tree,Growth/Recovery,,131
Austria,85,1984,193,Forest,Trees,,,131
Austria,85,2010,216,Forest,Trees,Stable,,131
Austria,85,2011,211,Forest,Trees,Wind,deadwoodRemoval,131
Austria,85,2016,217,Forest,Trees,Growth/Recovery,,131
Austria,86,1984,264,Other,Non-tree,,,131
Austria,86,2016,208,Other,Non-tree,Stable,,131
Austria,87,1984,193,Forest,Trees,,,131
Austria,87,1999,210,Forest,Trees,Stable,,131
Austria,87,2000,205,Forest,Trees,Harvest,thinning,131
Austria,87,2016,208,Forest,Trees,Stable,thinning,131
Austria,88,1984,218,Forest,Trees,,,131
Austria,88,2015,215,Forest,Trees,Stable,,131
Austria,89,1984,234,Other,Non-tree,,,131
Austria,89,2016,241,Other,Non-tree,Stable,,131
Austria,90,1984,234,Other,Non-tree,,,131
Austria,90,2016,209,Other,Non-tree,Stable,,131
Austria,91,1984,218,Forest,Trees,,,131
Austria,91,2010,208,Forest,Trees,Stable,,131
Austria,91,2011,228,Forest,Non-tree,Harvest,clearcut,131
Austria,91,2016,217,Forest,Non-tree,Stable,,131
Austria,92,1984,248,Forest,Non-tree,,,131
Austria,92,1995,214,Forest,Trees,Growth/Recovery,,131
Austria,92,2016,216,Forest,Trees,Stable,,131
Austria,93,1984,193,Other,Non-tree,,,131
Austria,93,2016,201,Other,Non-tree,Stable,,131
Austria,94,1984,234,Forest,Trees,,,131
Austria,94,2016,209,Forest,Trees,Stable,,131
Austria,95,1984,218,Other,Non-tree,,,131
Austria,95,2016,218,Other,Non-tree,Stable,,131
Austria,96,1984,193,Other,Non-tree,,,131
Austria,96,2016,217,Other,Non-tree,Stable,,131
Austria,97,1984,193,Other,Non-tree,,,131
Austria,97,2016,224,Other,Non-tree,Stable,,131
Austria,98,1984,218,Other,Non-tree,,,131
Austria,98,2016,219,Other,Non-tree,Stable,,131
Austria,99,1984,218,Other,Non-tree,,,131
Austria,99,2016,194,Other,Non-tree,Stable,,131
Austria,100,1984,241,Other,Non-tree,,,131
Austria,100,2016,248,Other,Non-tree,Stable,,131
Austria,101,1984,218,Forest,Trees,,,131
Austria,101,2016,202,Forest,Trees,Stable,,131
Austria,102,1984,218,Forest,Trees,,,131
Austria,102,2016,194,Forest,Trees,Stable,,131
Austria,103,1984,305,Other,Non-tree,,,131
Austria,103,2016,248,Other,Non-tree,Stable,,131
Austria,104,1984,234,Forest,Trees,,,131
Austria,104,2015,222,Forest,Trees,Stable,,131
Austria,105,1984,246,Other,Non-tree,,,131
Austria,105,2016,206,Other,Non-tree,Stable,,131
Austria,106,1984,248,Other,Non-tree,,,131
Austria,106,2016,216,Other,Non-tree,Stable,,131
Austria,107,1984,218,Other,Non-tree,,,131
Austria,107,2016,226,Other,Non-tree,Stable,,131
Austria,108,1984,248,Forest,Trees,,,131
Austria,108,2016,216,Forest,Trees,Stable,,131
Austria,109,1984,246,Other,Non-tree,,,131
Austria,109,2016,199,Other,Non-tree,Stable,,131
Austria,110,1984,193,Forest,Trees,,,131
Austria,110,2016,208,Forest,Trees,Stable,,131
Austria,111,1984,296,Other,Non-tree,,,131
Austria,111,2016,192,Other,Non-tree,Stable,,131
Austria,112,1984,218,Other,Non-tree,,,131
Austria,112,2016,202,Other,Non-tree,Stable,,131
Austria,113,1984,193,Forest,Trees,,,131
Austria,113,2002,209,Forest,Trees,Stable,,131
Austria,113,2015,221,Forest,Trees,Decline,,131
Austria,114,1984,248,Forest,Trees,,,131
Austria,114,2016,192,Forest,Trees,Stable,,131
Austria,115,1984,246,Other,Non-tree,,,131
Austria,115,2016,238,Other,Non-tree,Stable,,131
Austria,116,1984,248,Forest,Trees,,,131
Austria,116,2016,216,Forest,Trees,Stable,,131
Austria,117,1984,163,Other,Non-tree,,,131
Austria,117,2016,146,Other,Non-tree,Stable,,131
Austria,118,1984,218,Forest,Trees,,,131
Austria,118,2016,202,Forest,Trees,Stable,,131
Austria,119,1984,234,Forest,Trees,,,131
Austria,119,2001,224,Forest,Trees,Stable,,131
Austria,119,2002,211,Forest,Trees,Harvest,clearcut,131
Austria,119,2007,217,Forest,Trees,Growth/Recovery,,131
Austria,119,2016,202,Forest,Trees,Stable,,131
Austria,120,1984,193,Forest,Trees,,,131
Austria,120,1987,201,Forest,Trees,Harvest,sanitation,131
Austria,120,1991,219,Forest,Trees,Growth/Recovery,,131
Austria,120,2015,213,Forest,Trees,Stable,,131
Austria,121,1984,218,Other,Non-tree,,,131
Austria,121,2016,211,Other,Non-tree,Stable,,131
Austria,122,1984,193,Other,Non-tree,,,131
Austria,122,2016,216,Other,Non-tree,Stable,,131
Austria,123,1984,193,Forest,Trees,,,131
Austria,123,2016,201,Forest,Trees,Stable,,131
Austria,124,1985,234,Forest,Trees,,,131
Austria,124,2016,208,Forest,Trees,Stable,,131
Austria,125,1984,246,Forest,Trees,,,131
Austria,125,2016,238,Forest,Trees,Stable,,131
Austria,126,1984,218,Other,Non-tree,,,131
Austria,126,2016,211,Other,Non-tree,Stable,,131
Austria,127,1984,246,Forest,Trees,,,131
Austria,127,2016,206,Forest,Trees,Stable,,131
Austria,128,1984,218,Forest,Trees,,,131
Austria,128,2016,219,Forest,Trees,Stable,,131
Austria,129,1984,218,Forest,Trees,,,131
Austria,129,2016,211,Forest,Trees,Stable,,131
Austria,130,1984,193,Forest,Trees,,,131
Austria,130,2016,216,Forest,Trees,Stable,,131
Austria,131,1984,218,Forest,Trees,,,131
Austria,131,1988,229,Forest,Trees,Stable,,131
Austria,131,1989,208,Forest,Trees,Harvest,thinning,131
Austria,131,1991,221,Forest,Trees,Growth/Recovery,,131
Austria,131,2016,203,Forest,Trees,Decline,,131
Austria,132,1984,218,Other,Non-tree,,,131
Austria,132,2016,211,Other,Non-tree,Stable,,131
Austria,133,1984,218,Forest,Trees,,,131
Austria,133,2016,217,Forest,Trees,Stable,,131
Austria,134,1984,218,Other,Non-tree,,,131
Austria,134,2016,209,Other,Non-tree,Stable,,131
Austria,135,1984,179,Other,Non-tree,,,131
Austria,135,2016,203,Other,Non-tree,Stable,,131
Austria,136,1984,218,Other,Non-tree,,,131
Austria,136,2016,217,Other,Non-tree,Stable,,131
Austria,137,1984,218,Forest,Trees,,,131
Austria,137,2004,233,Forest,Trees,Stable,,131
Austria,137,2006,207,Forest,Trees,Harvest,clearcut,131
Austria,137,2016,211,Forest,Trees,Growth/Recovery,,131
Austria,138,1984,246,Forest,Trees,,,131
Austria,138,2002,216,Forest,Trees,Stable,,131
Austria,138,2003,218,Forest,Non-tree,Harvest,clearcut,131
Austria,138,2016,199,Forest,Non-tree,Growth/Recovery,,131
Austria,139,1984,218,Other,Non-tree,,,131
Austria,139,2016,202,Other,Non-tree,Stable,,131
Austria,140,1984,234,Other,Non-tree,,,131
Austria,140,2016,209,Other,Non-tree,Stable,,131
Austria,141,1984,193,Other,Non-tree,,,131
Austria,141,2016,201,Other,Non-tree,Stable,,131
Austria,142,1984,218,Forest,Trees,,,131
Austria,142,2016,217,Forest,Trees,Stable,,131
Austria,143,1984,232,Other,Non-tree,,,131
Austria,143,2016,240,Other,Non-tree,Stable,,131
Austria,144,1984,193,Other,Non-tree,,,131
Austria,144,2016,209,Other,Non-tree,Stable,,131
Austria,145,1984,218,Other,Non-tree,,,131
Austria,145,2016,211,Other,Non-tree,Stable,,131
Austria,146,1984,218,Forest,Trees,,,131
Austria,146,2014,220,Forest,Trees,Stable,,131
Austria,146,2015,222,Forest,Non-tree,Wind,deadwoodRemoval,131
Austria,146,2016,217,Forest,Non-tree,Stable,,131
Austria,147,1984,248,Other,Non-tree,,,131
Austria,147,2016,215,Other,Non-tree,Stable,,131
Austria,148,1984,193,Other,Non-tree,,,131
Austria,148,2016,216,Other,Non-tree,Stable,,131
Austria,149,1984,177,Forest,Trees,,,131
Austria,149,2016,240,Forest,Trees,Stable,,131
Austria,150,1984,193,Other,Non-tree,,,131
Austria,150,2016,209,Other,Non-tree,Stable,,131
Austria,151,1984,218,Other,Non-tree,,,131
Austria,151,2016,202,Other,Non-tree,Stable,,131
Austria,152,1984,218,Forest,Trees,,,131
Austria,152,2006,205,Forest,Trees,Stable,,131
Austria,152,2007,217,Forest,Non-tree,Wind,,131
Austria,152,2016,202,Forest,Trees,Growth/Recovery,,131
Austria,153,1984,246,Forest,Trees,,,131
Austria,153,2016,238,Forest,Trees,Stable,,131
Austria,154,1984,287,Forest,Trees,,,131
Austria,154,2008,193,Forest,Trees,Stable,,131
Austria,154,2009,211,Forest,Trees,Harvest,clearcut,131
Austria,154,2015,212,Forest,Trees,Stable,,131
Austria,154,2016,239,Forest,Non-tree,Wind,,131
Austria,155,1984,218,Forest,Trees,,,131
Austria,155,2016,217,Forest,Trees,Stable,,131
Austria,156,1984,218,Other,Non-tree,,,131
Austria,156,2016,219,Other,Non-tree,Stable,,131
Austria,157,1984,193,Other,Non-tree,,,131
Austria,157,2016,217,Other,Non-tree,Stable,,131
Austria,158,1984,218,Other,Non-tree,,,131
Austria,158,2016,217,Other,Non-tree,Stable,,131
Austria,159,1984,193,Forest,Trees,,,131
Austria,159,1988,211,Forest,Trees,Stable,,131
Austria,159,1989,222,Forest,Trees,Harvest,thinning,131
Austria,159,2004,215,Forest,Trees,Growth/Recovery,thinning,131
Austria,159,2006,205,Forest,Trees,Harvest,clearcut|thinning,131
Austria,159,2016,192,Forest,Trees,Growth/Recovery,,131
Austria,160,1984,234,Other,Non-tree,,,131
Austria,160,2016,209,Other,Non-tree,Stable,,131
Austria,161,1984,248,Other,Non-tree,,,131
Austria,161,2016,192,Other,Non-tree,Stable,,131
Austria,162,1984,193,Other,Non-tree,,,131
Austria,162,2016,217,Other,Non-tree,Stable,,131
Austria,163,1984,218,Forest,Trees,,,131
Austria,163,2016,211,Forest,Trees,Stable,,131
Austria,164,1984,234,Forest,Trees,,,131
Austria,164,2016,217,Forest,Trees,Stable,,131
Austria,165,1984,218,Forest,Trees,,,131
Austria,165,2008,188,Forest,Trees,Stable,,131
Austria,165,2009,206,Forest,Trees,Harvest,clearcut,131
Austria,165,2016,217,Forest,Trees,Stable,,131
Austria,166,1984,193,Forest,Trees,,,131
Austria,166,2016,216,Forest,Trees,Stable,,131
Austria,167,1984,193,Forest,Trees,,,131
Austria,167,2016,216,Forest,Trees,Stable,,131
Austria,168,1984,218,Forest,Trees,,,131
Austria,168,2016,203,Forest,Trees,Stable,,131
Austria,169,1984,193,Forest,Trees,,,131
Austria,169,2016,216,Forest,Trees,Stable,,131
Austria,170,1984,193,Forest,Trees,,,131
Austria,170,2005,209,Forest,Trees,Stable,,131
Austria,170,2008,211,Forest,Trees,Harvest,sanitation,131
Austria,170,2016,216,Forest,Trees,Growth/Recovery,,131
Austria,171,1984,234,Forest,Trees,,,131
Austria,171,2016,202,Forest,Trees,Stable,,131
Austria,172,1984,218,Forest,Trees,,,131
Austria,172,2016,218,Forest,Trees,Stable,,131
Austria,173,1984,312,Other,Non-tree,,,131
Austria,173,2016,192,Other,Non-tree,Stable,,131
Austria,174,1984,234,Forest,Trees,,,131
Austria,174,1994,213,Forest,Trees,Stable,,131
Austria,174,1995,184,Forest,Trees,Harvest,clearcut,131
Austria,174,2001,224,Forest,Trees,Stable,,131
Austria,174,2006,230,Forest,Trees,Growth/Recovery,,131
Austria,174,2016,226,Forest,Trees,Stable,,131
Austria,175,1984,193,Forest,Trees,,,131
Austria,175,2016,201,Forest,Trees,Stable,,131
Austria,176,1984,287,Forest,Trees,,,131
Austria,176,2015,212,Forest,Trees,Stable,,131
Austria,177,1984,218,Forest,Trees,,,131
Austria,177,2016,194,Forest,Trees,Stable,,131
Austria,178,1984,218,Other,Non-tree,,,131
Austria,178,2016,202,Other,Non-tree,Stable,,131
Austria,179,1986,214,Forest,Trees,,,131
Austria,179,2016,202,Forest,Trees,Stable,,131
Austria,180,1985,195,Forest,Trees,,,131
Austria,180,2016,216,Forest,Trees,Stable,,131
Austria,181,1984,246,Forest,Trees,,,131
Austria,181,2016,199,Forest,Trees,Stable,,131
Austria,182,1984,248,Other,Non-tree,,,131
Austria,182,2016,216,Other,Non-tree,Stable,,131
Austria,183,1984,193,Other,Non-tree,,,131
Austria,183,2016,217,Other,Non-tree,Stable,,131
Austria,184,1984,218,Other,Non-tree,,,131
Austria,184,2016,217,Other,Non-tree,Stable,,131
Austria,185,1984,218,Forest,Trees,,,131
Austria,185,2010,217,Forest,Trees,Stable,,131
Austria,185,2011,221,Forest,Trees,Harvest,clearcut,131
Austria,185,2016,211,Forest,Trees,Growth/Recovery,,131
Austria,186,1984,234,Other,Non-tree,,,131
Austria,186,2016,217,Other,Non-tree,Stable,,131
Austria,187,1984,193,Forest,Trees,,,131
Austria,187,2016,233,Forest,Trees,Stable,,131
Austria,188,1984,218,Forest,Trees,,,131
Austria,188,2016,211,Forest,Trees,Stable,,131
